CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor
10637,CSC,201,31,2,1.000,Computer Applications,M,03:00 pm-03:50 pm,18,6,12,15,0,15,0,0,0,TBA
10638,CSC,201,32,2,1.000,Computer Applications,W,03:00 pm-03:50 pm,18,6,12,15,0,15,0,0,0,TBA
10639,CSC,201,33,2,1.000,Computer Applications,M,01:00 pm-01:50 pm,18,15,3,15,0,15,0,0,0,TBA
10640,CSC,201,34,2,1.000,Computer Applications,F,01:00 pm-01:50 pm,18,9,9,15,0,15,0,0,0,TBA
10641,CSC,201,35,2,1.000,Computer Applications,W,12:00 pm-12:50 pm,18,4,14,15,0,15,0,0,0,TBA
10642,CSC,201,36,2,1.000,Computer Applications,T,11:00 am-11:50 am,18,10,8,15,0,15,0,0,0,TBA
10643,CSC,201,37,2,1.000,Computer Applications,M,12:00 pm-12:50 pm,18,17,1,15,0,15,0,0,0,TBA
10650,CSC,243,31,2,3.000,Intr. Object Oriented Program.,MWF,01:00 pm-01:50 pm,40,1,39,15,0,15,40,1,39,P
10651,CSC,243,32,2,3.000,Intr. Object Oriented Program.,TR,02:00 pm-03:15 pm,40,1,39,0,0,0,40,3,37,P
10664,CSC,243B,31A,2,1.000,Introduction to Object-Oriented Programming Lab,F,05:00 pm-07:50 pm,25,1,24,0,0,0,0,0,0,TBA
10665,CSC,243B,31B,2,1.000,Introduction to Object-Oriented Programming Lab,F,05:00 pm-07:50 pm,25,0,25,15,0,15,0,0,0,TBA
10666,CSC,243B,32A,2,1.000,Introduction to Object-Oriented Programming Lab,R,05:00 pm-07:50 pm,25,1,24,15,0,15,0,0,0,TBA
10667,CSC,243B,32B,2,1.000,Introduction to Object-Oriented Programming Lab,R,05:00 pm-07:50 pm,25,0,25,15,0,15,0,0,0,TBA
10670,CSC,245,31,2,3.000,Objects & Data Abstraction,TR,02:00 pm-03:15 pm,40,14,26,15,0,15,40,20,20,P
10675,CSC,245B,31A,2,1.000,Objects & Data Abstraction Lab,M,05:00 pm-07:50 pm,25,11,14,15,0,15,0,0,0,TBA
10676,CSC,245B,31B,2,1.000,Objects & Data Abstraction Lab,M,05:00 pm-07:50 pm,25,3,22,15,0,15,0,0,0,TBA
10682,CSC,310,31,2,3.000,Algorithms & Data Structures,TR,11:00 am-12:15 pm,40,8,32,15,0,15,40,9,31,P
10683,CSC,310,32,2,3.000,Algorithms & Data Structures,TR,03:30 pm-04:45 pm,40,26,14,15,0,15,40,31,9,P
10694,CSC,310B,31A,2,1.000,Algorithms & Data Struct. Lab,W,05:00 pm-07:50 pm,25,4,21,15,0,15,0,0,0,TBA
10695,CSC,310B,31B,2,1.000,Algorithms & Data Struct. Lab,W,05:00 pm-07:50 pm,25,4,21,15,0,15,0,0,0,TBA
10696,CSC,310B,32A,2,1.000,Algorithms & Data Struct. Lab,T,05:00 pm-07:50 pm,25,20,5,15,0,15,0,0,0,TBA
10697,CSC,310B,32B,2,1.000,Algorithms & Data Struct. Lab,T,05:00 pm-07:50 pm,25,6,19,15,0,15,0,0,0,TBA
M,03:00 pm-04:59 pm,TBA
M,03:00 pm-04:59 pm,TBA
T,03:30 pm-05:29 pm,TBA
T,03:30 pm-05:29 pm,TBA
10706,CSC,326,31,2,3.000,Operating Systems,TR,08:00 am-09:15 am,40,40,0,15,4,11,0,0,0,TBA
10711,CSC,375,31,2,3.000,Database Management Systems,TR,09:30 am-10:45 am,40,32,8,15,5,10,40,40,0,P
10714,CSC,430,31,2,3.000,Computer Networks,TR,03:30 pm-04:45 pm,40,27,13,15,0,15,0,0,0,P
10716,CSC,431,31,2,3.000,Mobile Applications,MWF,01:00 pm-01:50 pm,40,38,2,15,0,15,0,0,0,TBA
10720,CSC,443,31,2,3.000,Web Programming,MWF,03:00 pm-03:50 pm,40,40,0,15,4,11,0,0,0,TBA
12233,CSC,463,31,2,3.000,Introduction to Data Science,TR,12:30 pm-01:45 pm,40,29,11,0,0,0,40,39,1,P
10726,CSC,498HN,31,2,3.000,Topics: Network Science,R,05:00 pm-07:50 pm,3,1,2,15,0,15,40,7,33,P
10731,CSC,599,31,2,3.000,Capstone Project,,TBA,12,8,4,15,0,15,0,0,0,TBA,TBA,
10732,CSC,599,32,2,3.000,Capstone Project,,TBA,12,0,12,15,0,15,0,0,0,TBA,TBA,
10734,CSC,599H,31,2,3.000,Capstone Project,,TBA,3,1,2,15,0,15,0,0,0,TBA,TBA,
10738,CSC,688E,31,2,3.000,Top.CSC:Algo for Phy VLSI Dsgn,T,05:00 pm-07:50 pm,35,0,35,15,0,15,0,0,0,P
10739,CSC,688O,31,2,3.000,Topics: Network Science,R,05:00 pm-07:50 pm,35,2,33,15,0,15,40,7,33,P
